id,x,y,width,height,text,type
0,241.0,89.0,621.0,56.0,Einschreibungen,title
1,70.0,170.0,70.0,32.0,2000,y-axis-label
2,72.0,210.0,68.0,32.0,1800,y-axis-label
3,70.0,250.0,68.0,32.0,1600,y-axis-label
4,72.0,290.0,66.0,32.0,1400,y-axis-label
5,67.0,330.0,73.0,32.0,1200,y-axis-label
6,68.0,370.0,66.0,32.0,1000,y-axis-label
7,86.0,410.0,50.0,32.0,800,y-axis-label
8,86.0,450.0,50.0,32.0,600,y-axis-label
9,88.0,490.0,48.0,32.0,400,y-axis-label
10,88.0,530.0,48.0,32.0,200,y-axis-label
11,88.0,570.0,53.0,32.0,0,y-axis-label
12,186.0,574.0,64.0,28.0,1985,x-axis-label
13,360.0,574.0,64.0,28.0,1990,x-axis-label
14,542.0,574.0,62.0,30.0,1995,x-axis-label
15,718.0,574.0,64.0,28.0,2000,x-axis-label
16,886.0,574.0,64.0,28.0,2005,x-axis-label
17,518.0,614.0,66.0,28.0,Jahr,x-axis-title
18,26.0,220.0,39.0,303.0,Anzahl,y-axis-title
